08:58:04 INFO  manager.ApplicationManager - Tests start on Chrome
08:58:10 INFO  TestBase - Method loginPositiveProps is started
08:58:10 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
08:58:15 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
08:58:15 INFO  manager.TestNgListener - Test starts loginPositiveProps invoked
08:58:15 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Log in ']
08:58:15 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Log in '] is found
08:58:17 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
08:58:17 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
08:58:18 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
08:58:18 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
08:58:18 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //button[@type='submit']
08:58:19 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
08:58:20 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //h2[contains(text(),'success')]
08:58:21 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //h2[contains(text(),'success')] is found
08:58:21 INFO  manager.TestNgListener - Test loginPositiveProps successful
08:58:21 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //button[@type='button']
08:58:21 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //button[@type='button'] is found
08:58:22 INFO  TestBase - ================================
