18:57:11 INFO  manager.ApplicationManager - Tests start on Chrome
18:57:15 INFO  TestBase - Method registrationNegativeNameIsEmpty is started
18:57:15 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
18:57:20 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
18:57:20 INFO  manager.TestNgListener - Test starts registrationNegativeNameIsEmpty invoked
18:57:20 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
18:57:20 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
18:57:22 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
18:57:23 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
18:57:23 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
18:57:23 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
18:57:24 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
18:57:24 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
18:57:24 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
18:57:24 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
18:57:25 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
18:57:25 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
18:57:26 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[text()=' Name is required ']
18:57:26 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[text()=' Name is required '] is found
18:57:26 INFO  manager.TestNgListener - Test registrationNegativeNameIsEmpty successful
18:57:26 INFO  TestBase - ================================
