19:09:23 INFO  manager.ApplicationManager - Tests start on Chrome
19:09:28 INFO  TestBase - Method loginPositive is started
19:09:28 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:09:33 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:09:33 INFO  manager.TestNgListener - Test starts loginPositive invoked
19:09:33 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Log in ']
19:09:33 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Log in '] is found
19:09:35 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
19:09:36 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
19:09:37 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
19:09:37 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
19:09:38 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //button[@type='submit']
19:09:38 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
19:09:40 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //h2[contains(text(),'success')]
19:09:41 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //h2[contains(text(),'success')] is found
19:09:41 INFO  manager.TestNgListener - Test loginPositive successful
19:09:41 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //button[@type='button']
19:09:41 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //button[@type='button'] is found
19:09:42 INFO  TestBase - ================================
