14:35:36 INFO  manager.ApplicationManager - Tests start on Chrome
14:35:41 INFO  TestBase - Method registrationNegativeNameIsEmpty is started
14:35:41 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
14:35:46 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
14:35:46 INFO  manager.TestNgListener - Test starts registrationNegativeNameIsEmpty invoked
14:35:46 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
14:35:46 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
14:35:48 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
14:35:49 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
14:35:49 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
14:35:49 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
14:35:50 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
14:35:50 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
14:35:50 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
14:35:50 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
14:35:51 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
14:35:51 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
14:35:52 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[text()=' Name is required ']
14:35:57 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[text()=' Name is required '] is found
14:35:57 INFO  manager.TestNgListener - Test registrationNegativeNameIsEmpty failed java.lang.AssertionError: expected [true] but found [false]
14:35:57 INFO  TestBase - ================================
