14:40:13 INFO  manager.ApplicationManager - Tests start on Chrome
14:40:19 INFO  TestBase - Method registrationNegativeNameIsEmpty is started
14:40:19 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
14:40:24 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
14:40:24 INFO  manager.TestNgListener - Test starts registrationNegativeNameIsEmpty invoked
14:40:24 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
14:40:24 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
14:40:26 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
14:40:27 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
14:40:28 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
14:40:28 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
14:40:29 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
14:40:29 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
14:40:30 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
14:40:30 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
14:40:30 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
14:40:30 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
14:40:32 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[text()=' Name is required ']
14:40:32 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[text()=' Name is required '] is found
14:40:32 INFO  manager.TestNgListener - Test registrationNegativeNameIsEmpty successful
14:40:32 INFO  TestBase - ================================
