19:05:09 INFO  manager.ApplicationManager - Tests start on Chrome
19:05:13 INFO  TestBase - Method registrationNegativeLastNameIsEmpty is started
19:05:13 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:05:18 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:05:18 INFO  manager.TestNgListener - Test starts registrationNegativeLastNameIsEmpty invoked
19:05:18 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
19:05:18 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
19:05:20 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:05:21 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:05:22 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
19:05:22 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
19:05:22 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
19:05:23 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
19:05:23 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
19:05:23 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
19:05:24 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[text()=' Last name is required ']
19:05:24 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[text()=' Last name is required '] is found
19:05:24 INFO  manager.TestNgListener - Test registrationNegativeLastNameIsEmpty successful
19:05:24 INFO  TestBase - ================================
19:05:24 INFO  TestBase - Method registrationNegativeNameIsEmpty is started
19:05:24 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:05:30 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:05:30 INFO  manager.TestNgListener - Test starts registrationNegativeNameIsEmpty invoked
19:05:30 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
19:05:30 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
19:05:31 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:05:31 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:05:36 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:05:36 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
19:05:36 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='lastName']
19:05:36 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='lastName'] is found
19:05:37 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
19:05:37 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
19:05:37 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
19:05:37 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
19:05:38 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[text()=' Name is required ']
19:05:43 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[text()=' Name is required '] is found
19:05:43 INFO  manager.TestNgListener - Test registrationNegativeNameIsEmpty failed java.lang.AssertionError: expected [true] but found [false]
19:05:43 INFO  TestBase - ================================
19:05:43 INFO  TestBase - Method registrationNegativeWrongEmail is started
19:05:43 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:05:48 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:05:48 INFO  manager.TestNgListener - Test starts registrationNegativeWrongEmail invoked
19:05:48 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Sign up ']
19:05:48 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Sign up '] is found
19:05:48 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='name']
19:05:48 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='name'] is found
