19:25:13 INFO  manager.ApplicationManager - Tests start on Chrome
19:25:17 INFO  TestBase - Method loginPositiveProps is started
19:25:17 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //a[.=' Logout ']
19:25:22 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //a[.=' Logout '] is found
19:25:22 INFO  manager.TestNgListener - Test starts loginPositiveProps invoked
19:25:22 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //*[.=' Log in ']
19:25:22 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //*[.=' Log in '] is found
19:25:24 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='email']
19:25:24 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='email'] is found
19:25:25 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //input[@id='password']
19:25:25 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //input[@id='password'] is found
19:25:26 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //button[@type='submit']
19:25:26 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //button[@type='submit'] is found
19:25:28 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //h2[contains(text(),'success')]
19:25:29 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //h2[contains(text(),'success')] is found
19:25:29 INFO  manager.TestNgListener - Test loginPositiveProps successful
19:25:29 INFO  manager.WebDriverListener - Start searching element ---> By.xpath: //button[@type='button']
19:25:29 INFO  manager.WebDriverListener - Element with locator ---> By.xpath: //button[@type='button'] is found
19:25:31 INFO  TestBase - ================================
